Ticker,Tag Along
NORD3,0.0
NRTQ3,0.0
OPCT3,1.0
ODER3,0.0
ODER4,0.0
ODPV3,1.0
OIBR3,1.0
OIBR4,0.8
ONCO3,1.0
ORVR3,1.0
OSXB3,1.0
OFSA3,1.0
PCAR3,1.0
PDTC3,0.0
PGMN3,1.0
PATI3,0.0
PATI4,0.0
PEAB3,0.0
PEAB4,0.0
PMAM3,1.0
PDGR3,1.0
RPMG3,0.0
PETR3,1.0
PETR4,1.0
RECV3,1.0
PRIO3,1.0
PTNT3,0.8
PTNT4,0.8
PETZ3,1.0
PINE3,1.0
PINE4,1.0
PLPL3,1.0
PLAS3,0.0
PPAR3,0.0
PSSA3,1.0
PTBL3,1.0
POSI3,1.0
PPLA11,0.0
PRNR3,1.0
PFRM3,1.0
PRPT3,0.0
QUAL3,1.0
LJQQ3,1.0
RADL3,1.0
RAIZ4,1.0
RAPT3,0.8
RAPT4,0.8
RCSL3,0.0
RCSL4,0.0
RDOR3,1.0
REDE3,0.0
RNEW3,1.0
RNEW4,1.0
RNEW11,1.0
RSUL3,0.0
RSUL4,0.0
RDNI3,1.0
RBNS11,0.0
ROMI3,1.0
RSID3,1.0
RAIL3,1.0
SBSP3,1.0
SAPR3,1.0
SAPR4,1.0
SAPR11,1.0
SNSY3,0.0
SNSY5,0.0
SNSY6,0.0
SANB3,1.0
SANB4,1.0
SANB11,1.0
CTSA3,0.0
CTSA4,0.0
STBP3,1.0
SCAR3,1.0
SMTO3,1.0
SHUL3,0.0
SHUL4,0.0
SEQL3,1.0
SEER3,1.0
SRNA3,1.0
CSNA3,0.0
SIMH3,1.0
SLCE3,1.0
SMFT3,0.0
SOND3,0.0
SOND5,0.0
SOND6,0.0
SGPS3,1.0
AHEB3,0.0
AHEB5,0.0
AHEB6,0.0
OPSE3,0.0
OPTS3,0.0
NEMO3,0.0
NEMO5,0.0
NEMO6,0.0
SUZB3,1.0
SYNE3,1.0
TAEE3,1.0
TAEE4,1.0
TAEE11,1.0
TASA3,1.0
TASA4,1.0
TRAD3,1.0
